type,financial_year,month,num_vehicles
E-3 Wheelers,2017-18,Apr,4748
E-3 Wheelers,2017-18,May,6720
E-3 Wheelers,2017-18,Jun,7178
E-3 Wheelers,2017-18,Jul,8775
E-3 Wheelers,2017-18,Aug,8905
E-3 Wheelers,2017-18,Sep,7414
E-3 Wheelers,2017-18,Oct,7250
E-3 Wheelers,2017-18,Nov,9598
E-3 Wheelers,2017-18,Dec,8719
E-3 Wheelers,2017-18,Jan,8750
E-3 Wheelers,2017-18,Feb,6904
E-3 Wheelers,2017-18,Mar,7009
E-3 Wheelers,2018-19,Apr,6593
E-3 Wheelers,2018-19,May,7276
E-3 Wheelers,2018-19,Jun,7556
E-3 Wheelers,2018-19,Jul,9844
E-3 Wheelers,2018-19,Aug,9990
E-3 Wheelers,2018-19,Sep,11130
E-3 Wheelers,2018-19,Oct,12305
E-3 Wheelers,2018-19,Nov,10517
E-3 Wheelers,2018-19,Dec,12501
E-3 Wheelers,2018-19,Jan,10533
E-3 Wheelers,2018-19,Feb,8786
E-3 Wheelers,2018-19,Mar,9000
E-3 Wheelers,2019-20,Apr,7888
E-3 Wheelers,2019-20,May,8256
E-3 Wheelers,2019-20,Jun,9187
E-3 Wheelers,2019-20,Jul,10746
E-3 Wheelers,2019-20,Aug,11527
E-3 Wheelers,2019-20,Sep,14340
E-3 Wheelers,2019-20,Oct,13261
E-3 Wheelers,2019-20,Nov,15543
E-3 Wheelers,2019-20,Dec,14422
E-3 Wheelers,2019-20,Jan,13553
E-3 Wheelers,2019-20,Feb,13622
E-3 Wheelers,2019-20,Mar,10706
E-3 Wheelers,2020-21,Apr,870
E-3 Wheelers,2020-21,May,668
E-3 Wheelers,2020-21,Jun,4662
E-3 Wheelers,2020-21,Jul,5871
E-3 Wheelers,2020-21,Aug,5937
E-3 Wheelers,2020-21,Sep,7747
E-3 Wheelers,2020-21,Oct,7946
E-3 Wheelers,2020-21,Nov,8537
E-3 Wheelers,2020-21,Dec,10242
E-3 Wheelers,2020-21,Jan,10931
E-3 Wheelers,2020-21,Feb,12550
E-3 Wheelers,2020-21,Mar,14937
E-3 Wheelers,2021-22,Apr,7951
E-3 Wheelers,2021-22,May,1048
E-3 Wheelers,2021-22,Jun,6338
E-3 Wheelers,2021-22,Jul,1853
E-3 Wheelers,2021-22,Aug,13309
E-3 Wheelers,2021-22,Sep,16964
E-3 Wheelers,2021-22,Oct,18497
E-3 Wheelers,2021-22,Nov,18690
E-3 Wheelers,2021-22,Dec,24118
E-3 Wheelers,2021-22,Jan,19548
E-3 Wheelers,2021-22,Feb,19621
E-3 Wheelers,2021-22,Mar,24606
E-3 Wheelers,2022-23,Apr,21626
E-3 Wheelers,2022-23,May,24100
E-3 Wheelers,2022-23,Jun,27846
E-3 Wheelers,2022-23,Jul,30489
E-3 Wheelers,2022-23,Aug,33055
E-3 Wheelers,2022-23,Sep,37404
E-3 Wheelers,2022-23,Oct,35889
E-3 Wheelers,2022-23,Nov,40403
E-3 Wheelers,2022-23,Dec,35542
E-3 Wheelers,2022-23,Jan,34308
E-3 Wheelers,2022-23,Feb,35995
E-3 Wheelers,2022-23,Mar,45225
